PS C:\Users\Konrad> & C:/Users/Konrad/AppData/Local/Programs/Python/Python311/python.exe c:/Users/Konrad/GoL-TwT/GoL_class.py
Spiralint: 40477 Generations: 1493 Cycletime: 1
Spiralint: 40613 Generations: 1193 Cycletime: 1
Spiralint: 40684 Generations: 1025 Cycletime: 1
Spiralint: 40937 Generations: 1283 Cycletime: 1
Spiralint: 40949 Generations: 1515 Cycletime: 1
Spiralint: 40954 Generations: 1515 Cycletime: 1
Spiralint: 41016 Generations: 1063 Cycletime: 1
Spiralint: 41059 Generations: 1285 Cycletime: 1
Spiralint: 41086 Generations: 1037 Cycletime: 1
Spiralint: 41270 Generations: 1204 Cycletime: 1
Spiralint: 41444 Generations: 1204 Cycletime: 1
Spiralint: 41481 Generations: 1284 Cycletime: 1
Spiralint: 41528 Generations: 1063 Cycletime: 1
Spiralint: 41737 Generations: 1202 Cycletime: 1
Spiralint: 41739 Generations: 1145 Cycletime: 1
Spiralint: 41925 Generations: 1144 Cycletime: 1
Spiralint: 41955 Generations: 1143 Cycletime: 1
Spiralint: 42124 Generations: 1284 Cycletime: 1
Spiralint: 42316 Generations: 1202 Cycletime: 1
Spiralint: 42343 Generations: 1041 Cycletime: 1
Spiralint: 42421 Generations: 1086 Cycletime: 1
Spiralint: 42508 Generations: 1202 Cycletime: 1
Spiralint: 42536 Generations: 1284 Cycletime: 1
Spiralint: 42553 Generations: 1149 Cycletime: 1
Spiralint: 42700 Generations: 1202 Cycletime: 1
Spiralint: 42728 Generations: 1200 Cycletime: 1
Spiralint: 42876 Generations: 1025 Cycletime: 1
Spiralint: 42977 Generations: 1143 Cycletime: 1
Spiralint: 43000 Generations: 1098 Cycletime: 1
Spiralint: 43367 Generations: 2286 Cycletime: 1
Spiralint: 43431 Generations: 2286 Cycletime: 1
Spiralint: 43623 Generations: 2286 Cycletime: 1
Spiralint: 43819 Generations: 1419 Cycletime: 1
Spiralint: 43973 Generations: 1031 Cycletime: 1
Spiralint: 44004 Generations: 1031 Cycletime: 1
Spiralint: 44403 Generations: 1937 Cycletime: 1
